"id:ID","registration_status","effective_date","until_date","uuid"
"7033","Draft","2022-09-01","","46647e59-62e6-4c1d-9379-c7eab68093d6"
"7034","Draft","2022-09-01","","21cf1d8d-0e2e-46dd-b931-d3df6b93c192"
"7035","Draft","2022-09-01","","2abedd63-598e-4f57-8ca4-d91de433e203"
"7036","Draft","2022-09-01","","2166404b-7a8a-4c23-8554-d30e45a939d8"
"7037","Draft","2022-09-01","","96d0da2f-3a8f-444d-b60b-4ebabb786731"
"7038","Draft","2022-09-01","","4cd5553b-b3d9-45b3-9b66-6308153cd3c9"
"7039","Draft","2022-09-01","","7694daaf-f49b-4b36-a69a-4a103b169b63"
"7040","Draft","2022-09-01","","a324cf26-afe2-4180-a634-826cc7a19bff"
"7041","Draft","2022-09-01","","da44e7de-20df-481b-a915-a5d3f0487eb6"
"7042","Draft","2022-09-01","","25a19c26-6143-4cdb-b5f0-94d7c13fd9d6"
"7043","Draft","2022-09-01","","ebfa0b9f-c8e1-4bc0-ac1e-4dfca4455b83"
"7044","Draft","2022-09-01","","4aaf984a-31dd-43b7-9688-ab123e7a75cf"
"7045","Draft","2022-09-01","","7e1f60b3-0ce5-48ea-9fbe-4a4477ba366a"
"7046","Draft","2022-09-01","","b06b62bc-9c84-4773-a581-dca4a04a9d6c"
"7047","Draft","2022-09-01","","95b9cd23-63f8-402b-a9aa-f00256a5f6aa"
"7048","Draft","2022-09-01","","36c70123-d70e-456c-b1a0-9dd2d6c75e45"
"7049","Draft","2022-09-01","","059dd6d8-3dfc-4188-a5a0-9258c8b4759b"
"7050","Draft","2022-09-01","","7db1a797-afcd-4b81-a60f-9564114f8714"
"7051","Draft","2022-09-01","","bd2d9a3c-314a-42a6-91df-499232fa5417"
"7052","Draft","2022-09-01","","0b56dee8-a8ef-4f12-8909-7896ab1f0665"
"7053","Draft","2022-09-01","","c4931937-db55-4ead-98c9-634ecaf2790a"
"7054","Draft","2022-09-01","","71bdbd96-f7fa-4492-ba1d-2041b71014b4"
"7055","Draft","2022-09-01","","2ebf333c-3e1d-48f1-bce5-505db68471d8"
"7056","Draft","2022-09-01","","dff53f57-da1a-4e88-9010-71757bc07291"
"7057","Draft","2022-09-01","","b69a225c-2d76-4241-ab27-cbf1b03a4db2"
"7058","Draft","2022-09-01","","78c659ea-f777-45b3-b43f-7c5270a8475e"
"7059","Draft","2022-09-01","","dff4891c-feb7-4662-9e34-f695d9c76126"
"7060","Draft","2022-09-01","","d6236455-39cf-46a2-8d38-e9f8efe8fa24"
"7061","Draft","2022-09-01","","9ce7eb3c-fd75-4042-a351-f077de5b6fa7"
"7062","Draft","2022-09-01","","19ed3a09-5603-477e-a330-506c03cfc287"
"7063","Draft","2022-09-01","","16edd148-e866-4f4f-a6bd-b53078605698"
"7064","Draft","2022-09-01","","20313b07-139e-44ae-a04c-a8bd6c4cf7be"
"7065","Draft","2022-09-01","","2f962e4b-61d2-4529-a14b-8ee07e2d20d6"
"7066","Draft","2022-09-01","","70c6c800-972a-439d-9864-d2ff19333648"
"7067","Draft","2022-09-01","","0893ba1e-6139-4aba-94e0-6ae607363fde"
"7068","Draft","2022-09-01","","638c2892-db8d-428a-91a3-a3ac02980cff"
"7069","Draft","2022-09-01","","67731fa8-e53e-4560-aa4c-b4f796d5ee34"
"7070","Draft","2022-09-01","","cdd45b3e-496c-4fd3-973e-8e5b0e329c3a"
"7071","Draft","2022-09-01","","8fe43b79-9a30-41b6-9b11-82fb8f6e0cfc"
"7072","Draft","2022-09-01","","bcc194f0-cc5d-45e3-9acc-4860575e5811"
"7073","Draft","2022-09-01","","3344f5aa-8010-4662-b629-dad754362f82"
"7074","Draft","2022-09-01","","a85aa612-c2a7-4900-8cca-e66c746ee127"
"7075","Draft","2022-09-01","","63f4fb58-3c38-47ac-8089-9bf79f7653e4"
"7076","Draft","2022-09-01","","175982e1-8824-4d93-af91-d94f1866d17f"
"7077","Draft","2022-09-01","","aeb1c583-b8aa-489f-893a-5add530c39be"
"7078","Draft","2022-09-01","","d636083d-a9ba-4c36-800d-6179d58281b9"
"7079","Draft","2022-09-01","","a37a93f8-0b77-4a7f-842d-2ce3a735e334"
"7080","Draft","2022-09-01","","d022c285-60b8-485f-9e80-81465bc7703b"
"7081","Draft","2022-09-01","","30790dbb-0363-432b-bdb7-73871eacc50c"
"7082","Draft","2022-09-01","","90a22b83-4bf6-44e1-af24-30e759ce98a4"
"7083","Draft","2022-09-01","","15204f3a-8828-4dbd-9d22-92f3bb74e0a7"
"7084","Draft","2022-09-01","","085ccc19-ba18-4c37-a38f-e048a367275a"
"7085","Draft","2022-09-01","","47f7c8b6-95bc-4575-ae54-c7ca68b29ce5"
"7086","Draft","2022-09-01","","567d7116-b13b-45e5-bd25-4f74f57ef841"
"7087","Draft","2022-09-01","","8f67d480-075b-4bc0-9bb5-fba175f23df7"
"7088","Draft","2022-09-01","","1129c6c5-4ef9-405c-863b-f22d1b7cd523"
"7089","Draft","2022-09-01","","18d766bf-4f08-424f-99b1-894a5e63b680"
"7090","Draft","2022-09-01","","e7387b76-b5f1-4922-b111-f49c0b70ba65"
"7091","Draft","2022-09-01","","2ea73755-7fe6-4b1a-a19b-7cacbc36a4a2"
"7092","Draft","2022-09-01","","cbfa1331-4dba-4b94-a674-69018c74da5b"
"7093","Draft","2022-09-01","","6242dcad-4ebc-4393-b9e7-769dac875efe"
"7094","Draft","2022-09-01","","405805c7-561c-45f9-a4a9-b151b9996c66"
"7095","Draft","2022-09-01","","9603b286-5607-4f61-9029-094d33f65775"
"7096","Draft","2022-09-01","","d67c5fc4-35a5-4497-91ef-250defdbd740"
"7097","Draft","2022-09-01","","0ce57ae6-6d12-4f22-866a-2ae90de8bd4f"
"7098","Draft","2022-09-01","","a46bbcc8-ea51-45c9-a7fd-39e0dea4211c"
"7099","Draft","2022-09-01","","b335ff0d-919a-4475-956e-1cc8fe9fa8fd"
"7100","Draft","2022-09-01","","a64684e3-1573-4037-b5e9-1b08a73257db"
"7101","Draft","2022-09-01","","dc77e360-2d4b-4be6-892d-a174a731971d"
"7102","Draft","2022-09-01","","09c949ac-9617-4034-be1f-f6f9bbf1ce6e"
"7103","Draft","2022-09-01","","97926a30-7cc9-4b16-94f6-7c83b1dd7da8"
"7104","Draft","2022-09-01","","3247adf1-2827-448a-b1e3-1149b4c328bd"
"7105","Draft","2022-09-01","","49f266b0-7ff8-4b41-bf45-7bc7fefc57f1"
"7106","Draft","2022-09-01","","f4416525-ab3b-44be-a288-7f17b1f21003"
"7107","Draft","2022-09-01","","64982bef-b51e-448d-b8f3-5ad75572b5e8"
"7108","Draft","2022-09-01","","6ef9f5fa-4932-455a-bd3f-0e703f3b9ca6"
"7109","Draft","2022-09-01","","ef184fed-a218-4479-bb92-6b31f7f08f74"
"7110","Draft","2022-09-01","","02e56471-36df-4c65-a347-4b54381406c7"
"7111","Draft","2022-09-01","","9732839c-0582-4b83-90b3-42a48cfd8467"
"7112","Draft","2022-09-01","","5dde75fa-8e99-4aca-90f2-111936737e09"
"7113","Draft","2022-09-01","","bac0550b-995a-4479-bb00-ec8c7c65b084"
"7114","Draft","2022-09-01","","e396696f-069e-40cb-9199-8f1b6209fc1c"
"7115","Draft","2022-09-01","","7358f200-3e58-4339-bd04-8cc984983ce4"
"7116","Draft","2022-09-01","","964eadad-5515-4506-8220-74b7517dc20c"
"7117","Draft","2022-09-01","","e855d817-43c4-4ebb-9a61-b6fad1c019b4"
"7118","Draft","2022-09-01","","e5f65eb2-19bf-493f-b430-b1ee47d00933"
"7119","Draft","2022-09-01","","15e15da8-35ef-40f6-94df-a3ee5124a2f4"
"7120","Draft","2022-09-01","","78c680f6-42e1-4145-86f2-ecc4042b8322"
"7121","Draft","2022-09-01","","0bf0d515-f9e0-47f9-967e-00623368059c"
"7122","Draft","2022-09-01","","f0f9feeb-7f2b-4ca4-b0a3-34b4867c36a7"
"7123","Draft","2022-09-01","","45f71e50-5910-454b-8014-9fadf4b9c728"
"7124","Draft","2022-09-01","","3bf68638-d5a3-464e-a5e0-c2d4519e0f01"
"7125","Draft","2022-09-01","","95091e0e-7261-42a3-bbeb-9e08a89d965e"
"7126","Draft","2022-09-01","","736d82f8-1a98-4dc6-a868-70a3770e6196"
"7127","Draft","2022-09-01","","28980c4f-13cb-4081-a846-c65178856b43"
"7128","Draft","2022-09-01","","5e9b8121-439b-445b-a89b-3ce6bc9105e6"
"7129","Draft","2022-09-01","","947f0e1f-26ba-4345-a09c-9664c5186bc1"
"7130","Draft","2022-09-01","","3af0d5dd-f596-47ae-9126-c80bb3ad892b"
"7131","Draft","2022-09-01","","065ccd43-b945-443c-a8aa-d466c70b9a1a"
"7132","Draft","2022-09-01","","87aba1c3-8650-43ba-a5b6-84013461ac37"
"7133","Draft","2022-09-01","","877de05b-bfb8-4534-bd63-ddb6d574070b"
"7134","Draft","2022-09-01","","215738d6-fc8e-44ba-8510-4f44a7ba894b"
"7135","Draft","2022-09-01","","801a948c-95a5-40ac-9cc0-874b4609008c"
"7136","Draft","2022-09-01","","63f8a09f-2dbc-439d-a982-ed3ff086cac7"
"7137","Draft","2022-09-01","","bcfd3b2a-1727-4fc7-bd51-6e0aafed46f5"
"7138","Draft","2022-09-01","","da104923-23de-46c4-bb7b-c42bd789dec0"
"7139","Draft","2022-09-01","","4b187b51-17e2-44c7-be3d-97c450d1a2d2"
"7140","Draft","2022-09-01","","281b903a-e627-4cb4-85b6-df1c0a45c3a8"
"7141","Draft","2022-09-01","","2375dec3-52a0-407c-8246-fd4819468f2a"
"7142","Draft","2022-09-01","","b8b25eff-ec79-4fef-a1e7-4bf7475a6488"
"7143","Draft","2022-09-01","","660c02de-7565-4ad0-85bb-127a0b63596c"
"7144","Draft","2022-09-01","","235e91c3-7208-4973-a172-39d911f4d788"
"7145","Draft","2022-09-01","","8e466a57-99cb-4a30-b4a5-1cfd23037804"
"7146","Draft","2022-09-01","","eb5a32dd-271e-4ecc-8920-4d253d7bc288"
"7147","Draft","2022-09-01","","7e462330-6be7-48ef-9713-1b3e26deb321"
"7148","Draft","2022-09-01","","00f9d8e6-9bdb-4db3-9513-d8668967bba4"
"7149","Draft","2022-09-01","","76035fa0-a2c6-408a-be72-6876bebaba86"
"7150","Draft","2022-09-01","","ef3902fb-8186-415c-a808-ac67ce33da35"
"7151","Draft","2022-09-01","","7fd667d0-c409-491f-a3a6-9801197f6e3c"
"7152","Draft","2022-09-01","","12da54b4-69dd-47aa-8a1d-5391d1ffe553"
"7153","Draft","2022-09-01","","4b7ec383-2c65-4b83-a3be-56ea6273ec16"
"7154","Draft","2022-09-01","","853b96bd-a75f-4231-a9eb-47f38e629ef4"
"7155","Draft","2022-09-01","","664924dd-4567-4349-a3f3-4e1773bba704"
"7156","Draft","2022-09-01","","61be5005-778d-4733-90a3-e123cdd93b9b"
"7157","Draft","2022-09-01","","ba2433bb-443c-4646-a5e5-9b5c7cf822bc"
"7158","Draft","2022-09-01","","98f71cf6-4e7c-4fa7-9893-5cf0a693acc5"
"7159","Draft","2022-09-01","","01b8efaf-12e0-4267-8d4f-488903a5c408"
"7160","Draft","2022-09-01","","91008539-db81-4cb7-a1d0-2a20663db457"
"7161","Draft","2022-09-01","","41f873f8-c1cc-484e-9858-ce5204a88322"
"7162","Draft","2022-09-01","","0fc83f2a-3752-47e1-9ed7-16b820d300a8"
"7163","Draft","2022-09-01","","3fff3a9a-2d67-4f0c-a2ea-925af2b46e0a"
"7164","Draft","2022-09-01","","a0e9a281-51df-4ac1-8655-0c9692141400"
"7165","Draft","2022-09-01","","776d3f27-7005-4b93-9088-f5da78004f6f"
"7166","Draft","2022-09-01","","ae09e2b1-9ba2-40a2-9581-91257a281c74"
"7167","Draft","2022-09-01","","5db3ce7a-09bf-4ea0-8b6f-b45b15d9ecb7"
"7168","Draft","2022-09-01","","0b4a2461-a49d-4185-8d11-c6dc7f4377e1"
"7169","Draft","2022-09-01","","32f825c5-aeb6-4f38-9d56-72f7fce03b27"
"7170","Draft","2022-09-01","","f5c3fb41-e2da-4c6b-9aff-3c1cfcc7c44f"
"7171","Draft","2022-09-01","","ac897700-4881-46db-9c45-0cb5aa46f257"
"7172","Draft","2022-09-01","","172e7913-007f-46db-af12-385a798f3b36"
"7173","Draft","2022-09-01","","252e4d64-c87a-4df4-9cd2-982ba14b9fea"
"7174","Draft","2022-09-01","","8edef7c5-12c2-4289-b99d-9e2892e74783"
"7175","Draft","2022-09-01","","8508dbc6-468a-4959-82f6-0fefe4dc41b2"
"7176","Draft","2022-09-01","","2e2964c6-1710-4574-9f82-3c55310210eb"
"7177","Draft","2022-09-01","","da4b2b81-5792-4e80-a4bd-474097957f9d"
"7178","Draft","2022-09-01","","b450b3d5-20da-44cd-9076-5c2936bfb290"
"7179","Draft","2022-09-01","","465152e7-8983-41da-bb8f-4d8c38a715b9"
"7180","Draft","2022-09-01","","82eb3217-05a3-40ce-8797-6f3d50c6729d"
"7181","Draft","2022-09-01","","399bf7d2-bcaf-49d0-8f52-cd4f6a84f6ab"
"7182","Draft","2022-09-01","","fc1cccf6-c1de-4d65-b050-11629274cbfb"
"7183","Draft","2022-09-01","","95c05515-e627-4c62-be03-d616330f480a"
"7184","Draft","2022-09-01","","58c63f97-f33c-4676-a89c-768674540bb9"
"7185","Draft","2022-09-01","","ecec98ca-2c00-4cc9-b7b6-bc218b8ec866"
"7186","Draft","2022-09-01","","82d2dcb1-671d-4c11-9f47-463893018bdd"
"7187","Draft","2022-09-01","","57510906-6085-4532-9acd-c329a1f69c0c"
"7188","Draft","2022-09-01","","01634368-b25f-42d4-8a67-bbe45544aaea"
"7189","Draft","2022-09-01","","74f4e45c-5b59-4094-a30b-7a7334f28b2d"
"7190","Draft","2022-09-01","","74aa5ba4-9e6c-4cc9-b6b5-58f6f7976b16"
"7191","Draft","2022-09-01","","c76b6f6f-4244-4fae-b85f-bfa3ea4d6ce3"
"7192","Draft","2022-09-01","","0a017805-0f99-495c-bdc2-b0dbb761a8a8"
"7193","Draft","2022-09-01","","ea472b5a-8a49-431b-9b96-57ff1b8990fd"
"7194","Draft","2022-09-01","","34cda4d8-36ff-42ea-9982-c066c870d70f"
"7195","Draft","2022-09-01","","2bea6dce-436b-44d1-9375-20f973f18b60"
"7196","Draft","2022-09-01","","f354c60e-676e-4b8e-9928-52b39174c20f"
"7197","Draft","2022-09-01","","bfa7de93-dbd4-4486-a083-eb7a1e9879a1"
"7198","Draft","2022-09-01","","6b3ad530-de7a-4612-8ba2-aa4b1a47a5ac"
"7199","Draft","2022-09-01","","e60ff1be-76cb-4ab5-88b2-03fe7f074856"
"7200","Draft","2022-09-01","","b5d2cd08-e16d-41d1-88cb-cac85d1cd92b"
"7201","Draft","2022-09-01","","dc7ac0af-83ef-4b54-9ffe-a474d2bf3438"
"7202","Draft","2022-09-01","","298ecfdd-fc70-4f90-839c-c8ef91d244c2"
"7203","Draft","2022-09-01","","32bf7498-ae7a-4d56-b922-f3715a52abbc"
"7204","Draft","2022-09-01","","e4638996-953a-4828-b4a1-2c2f74a7334d"
"7205","Draft","2022-09-01","","e16742a5-395e-4f2f-bee3-794addf478cd"
"7206","Draft","2022-09-01","","d5cfee8b-8fbc-4ef7-8999-18b29fbc5c84"
"7207","Draft","2022-09-01","","ee7d8c2c-4856-4a4e-9b6e-96fb589319ca"
"7208","Draft","2022-09-01","","5179d101-7f20-4658-a5eb-f358a990b1a9"
"7209","Draft","2022-09-01","","d7984704-73b1-404b-afa2-e64d798ffcab"
"7210","Draft","2022-09-01","","dfc3bff0-f4c3-4496-87af-667d671e9227"
"7211","Draft","2022-09-01","","62ed43f8-6f74-465d-aa67-1a3ed8c94cbe"
"7212","Draft","2022-09-01","","23bb3f27-3b05-497f-b4cd-edc3f1ee8900"
"7213","Draft","2022-09-01","","20398aae-9b41-48cc-a5d3-c725b0ce3776"
"7214","Draft","2022-09-01","","58b4b886-1cb0-4d45-a3e7-34700b73ba21"
"7215","Draft","2022-09-01","","9bd24242-899d-40bd-bef5-9b9536884b71"
"7216","Draft","2022-09-01","","975eb8af-8864-4f58-a3a1-a2181905592b"
"7217","Draft","2022-09-01","","45b54b3d-aa38-428e-a3f8-8765bc3eb2ef"
"7218","Draft","2022-09-01","","e918c9dd-4c42-4041-8cff-3cb23f920cf1"
"7219","Draft","2022-09-01","","5c873322-ad03-404c-a471-82322e28ad93"
"7220","Draft","2022-09-01","","ffc9b5a5-124e-4499-93af-097b2acc8340"
"7221","Draft","2022-09-01","","1ef2ba53-7737-475d-a3a7-bc9aca62f3fc"
"7222","Draft","2022-09-01","","8c30ad33-f0e3-48f1-b844-dd271d4a948e"
"7223","Draft","2022-09-01","","7aed99ed-48a3-4af6-a621-0fb89dee9629"
"7224","Draft","2022-09-01","","33502584-70a5-415d-aef2-aee2b8f4cd4d"
"7225","Draft","2022-09-01","","371da44e-6837-4e2e-8782-9ee70cbdd987"
"7226","Draft","2022-09-01","","8a33c237-c369-47af-8a30-1be7cd711f10"
"7227","Draft","2022-09-01","","4b0e003f-e6ce-4f24-9a03-b92df2966b52"
"7228","Draft","2022-09-01","","b0acf05f-8b2a-42ee-b329-988e43c3428f"
"7229","Draft","2022-09-01","","b4b4bcf7-b49b-4337-946d-8501c0b2afd9"
"7230","Draft","2022-09-01","","0debcb58-93d0-4f88-8580-ffafb5ce1238"
"7231","Draft","2022-09-01","","156ff24e-ca30-4667-a1a9-ba4c2e649092"
"7232","Draft","2022-09-01","","f2604ec4-927c-487f-be70-f79d3c27bec3"
